"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"No Usual Source of Care","2021","Suburban","0 to 18","0% or more FPL","7,804","4,340","11,268","1.7","0.9","2.4"
"Doctor's Office or Health Center","2021","Appalachian","0 to 18","0% or more FPL","349,676","332,264","367,088","88.5","86.2","90.7"
"Doctor's Office or Health Center","2021","Metropolitan","0 to 18","0% or more FPL","1,305,428","1,269,072","1,341,784","89.0","87.7","90.2"
"Doctor's Office or Health Center","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","335,404","318,491","352,317","90.8","88.5","93.0"
"Doctor's Office or Health Center","2021","Suburban","0 to 18","0% or more FPL","429,569","409,809","449,329","91.8","90.2","93.5"
"Hospital ER","2021","Appalachian","0 to 18","0% or more FPL","7,550","4,375","10,725","1.9","1.1","2.7"
"Hospital ER","2021","Metropolitan","0 to 18","0% or more FPL","37,327","27,421","47,233","2.5","1.9","3.2"
"Hospital ER","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Hospital ER","2021","Suburban","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Urgent Care Center","2021","Appalachian","0 to 18","0% or more FPL","23,482","17,040","29,924","5.9","4.3","7.6"
"Urgent Care Center","2021","Metropolitan","0 to 18","0% or more FPL","70,974","57,005","84,944","4.8","3.9","5.8"
"Urgent Care Center","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","20,881","13,558","28,205","5.7","3.7","7.6"
"Urgent Care Center","2021","Suburban","0 to 18","0% or more FPL","15,101","9,769","20,433","3.2","2.1","4.4"
"Clinic in a Pharmacy or Grocery Store","2021","Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Clinic in a Pharmacy or Grocery Store","2021","Metropolitan","0 to 18","0% or more FPL","13,033","8,513","17,553","0.9","0.6","1.2"
"Clinic in a Pharmacy or Grocery Store","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Clinic in a Pharmacy or Grocery Store","2021","Suburban","0 to 18","0% or more FPL","7,884","4,266","11,502","1.7","0.9","2.5"
"Some Other Place","2021","Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Some Other Place","2021","Metropolitan","0 to 18","0% or more FPL","13,732","8,935","18,529","0.9","0.6","1.3"
"Some Other Place","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Some Other Place","2021","Suburban","0 to 18","0% or more FPL","NA","NA","NA","NA","NA","NA"
