"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Black","2012","Suburban","19 Years and Older","0% or more FPL","40,334","31,165","49,503","2.8","2.2","3.5"
"Hispanic","2012","Appalachian","19 Years and Older","0% or more FPL","14,617","10,067","19,167","1.1","0.7","1.4"
"Hispanic","2012","Metropolitan","19 Years and Older","0% or more FPL","154,035","137,520","170,549","3.3","2.9","3.6"
"Hispanic","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","20,477","14,842","26,111","1.8","1.3","2.3"
"Hispanic","2012","Suburban","19 Years and Older","0% or more FPL","23,058","16,749","29,367","1.6","1.2","2.1"
"Asian","2012","Appalachian","19 Years and Older","0% or more FPL","NA","NA","NA","NA","NA","NA"
"Asian","2012","Metropolitan","19 Years and Older","0% or more FPL","177,693","157,336","198,051","3.8","3.3","4.2"
"Asian","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","9,595","5,659","13,531","0.8","0.5","1.2"
"Asian","2012","Suburban","19 Years and Older","0% or more FPL","18,637","12,271","25,003","1.3","0.9","1.8"
"White or Other","2015","Appalachian","19 Years and Older","0% or more FPL","1,395,376","1,370,677","1,420,075","94.7","94.1","95.2"
"White or Other","2015","Metropolitan","19 Years and Older","0% or more FPL","3,615,843","3,570,069","3,661,617","75.2","74.6","75.8"
"White or Other","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,091,348","1,068,612","1,114,084","94.3","93.7","95.0"
"White or Other","2015","Suburban","19 Years and Older","0% or more FPL","1,265,745","1,240,369","1,291,122","92.6","91.9","93.3"
"Black","2015","Appalachian","19 Years and Older","0% or more FPL","45,187","39,054","51,320","3.1","2.7","3.5"
"Black","2015","Metropolitan","19 Years and Older","0% or more FPL","896,517","870,621","922,413","18.6","18.1","19.2"
"Black","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","25,320","21,094","29,546","2.2","1.8","2.6"
"Black","2015","Suburban","19 Years and Older","0% or more FPL","51,475","45,164","57,786","3.8","3.3","4.2"
"Hispanic","2015","Appalachian","19 Years and Older","0% or more FPL","23,214","18,611","27,817","1.6","1.3","1.9"
"Hispanic","2015","Metropolitan","19 Years and Older","0% or more FPL","170,760","158,232","183,288","3.6","3.3","3.8"
"Hispanic","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","25,277","20,681","29,873","2.2","1.8","2.6"
"Hispanic","2015","Suburban","19 Years and Older","0% or more FPL","27,889","22,753","33,025","2.0","1.7","2.4"
"Asian","2015","Appalachian","19 Years and Older","0% or more FPL","9,822","6,755","12,888","0.7","0.5","0.9"
"Asian","2015","Metropolitan","19 Years and Older","0% or more FPL","125,916","112,340","139,492","2.6","2.3","2.9"
"Asian","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","15,066","10,664","19,467","1.3","0.9","1.7"
"Asian","2015","Suburban","19 Years and Older","0% or more FPL","21,901","16,940","26,861","1.6","1.2","2.0"
"White or Other","2017","Appalachian","19 Years and Older","0% or more FPL","1,348,574","1,322,143","1,375,005","93.9","93.3","94.5"
"White or Other","2017","Metropolitan","19 Years and Older","0% or more FPL","3,639,641","3,591,573","3,687,710","75.1","74.5","75.7"
"White or Other","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,124,372","1,100,805","1,147,938","93.8","93.1","94.4"
"White or Other","2017","Suburban","19 Years and Older","0% or more FPL","1,285,845","1,257,528","1,314,162","92.6","91.9","93.3"
"Black","2017","Appalachian","19 Years and Older","0% or more FPL","47,016","40,607","53,425","3.3","2.8","3.7"
"Black","2017","Metropolitan","19 Years and Older","0% or more FPL","898,856","872,093","925,620","18.5","18.0","19.1"
"Black","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","33,865","29,258","38,472","2.8","2.4","3.2"
"Black","2017","Suburban","19 Years and Older","0% or more FPL","51,018","44,649","57,387","3.7","3.2","4.1"
"Hispanic","2017","Appalachian","19 Years and Older","0% or more FPL","27,047","21,935","32,158","1.9","1.5","2.2"
"Hispanic","2017","Metropolitan","19 Years and Older","0% or more FPL","173,609","160,966","186,252","3.6","3.3","3.8"
"Hispanic","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","27,487","22,449","32,524","2.3","1.9","2.7"
"Hispanic","2017","Suburban","19 Years and Older","0% or more FPL","28,977","23,894","34,061","2.1","1.7","2.5"
"Asian","2017","Appalachian","19 Years and Older","0% or more FPL","13,281","8,931","17,630","0.9","0.6","1.2"
"Asian","2017","Metropolitan","19 Years and Older","0% or more FPL","133,572","118,701","148,443","2.8","2.5","3.1"
"Asian","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","13,335","9,465","17,205","1.1","0.8","1.4"
"Asian","2017","Suburban","19 Years and Older","0% or more FPL","22,704","17,498","27,910","1.6","1.3","2.0"
"White or Other","2019","Appalachian","19 Years and Older","0% or more FPL","1,290,159","1,252,557","1,327,761","94.0","93.3","94.7"
"White or Other","2019","Metropolitan","19 Years and Older","0% or more FPL","3,642,756","3,574,537","3,710,976","74.4","73.6","75.2"
"White or Other","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,085,890","1,047,401","1,124,379","93.0","92.1","93.8"
"White or Other","2019","Suburban","19 Years and Older","0% or more FPL","1,381,300","1,342,858","1,419,742","91.7","90.9","92.6"
"Black","2019","Appalachian","19 Years and Older","0% or more FPL","47,936","40,874","54,998","3.5","3.0","4.0"
"Black","2019","Metropolitan","19 Years and Older","0% or more FPL","908,951","877,716","940,187","18.6","17.9","19.2"
"Black","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","38,277","32,117","44,437","3.3","2.7","3.8"
"Black","2019","Suburban","19 Years and Older","0% or more FPL","55,596","48,211","62,981","3.7","3.2","4.2"
"Hispanic","2019","Appalachian","19 Years and Older","0% or more FPL","23,064","18,549","27,580","1.7","1.4","2.0"
"Hispanic","2019","Metropolitan","19 Years and Older","0% or more FPL","199,581","182,754","216,408","4.1","3.7","4.4"
"Hispanic","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","27,937","22,118","33,755","2.4","1.9","2.9"
"Hispanic","2019","Suburban","19 Years and Older","0% or more FPL","32,898","27,099","38,698","2.2","1.8","2.6"
"Asian","2019","Appalachian","19 Years and Older","0% or more FPL","11,049","5,997","16,102","0.8","0.4","1.2"
"Asian","2019","Metropolitan","19 Years and Older","0% or more FPL","142,150","118,905","165,396","2.9","2.4","3.4"
"Asian","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","15,875","10,960","20,790","1.4","0.9","1.8"
"Asian","2019","Suburban","19 Years and Older","0% or more FPL","35,922","26,811","45,032","2.4","1.8","3.0"
"White or Other","2021","Appalachian","19 Years and Older","0% or more FPL","1,293,913","1,264,511","1,323,314","95.2","94.5","95.9"
"White or Other","2021","Metropolitan","19 Years and Older","0% or more FPL","3,635,745","3,576,526","3,694,964","74.5","73.7","75.2"
"White or Other","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,089,064","1,059,594","1,118,534","93.4","92.6","94.3"
"White or Other","2021","Suburban","19 Years and Older","0% or more FPL","1,383,020","1,345,601","1,420,439","91.2","90.0","92.3"
"Black","2021","Appalachian","19 Years and Older","0% or more FPL","29,200","23,704","34,697","2.1","1.7","2.6"
"Black","2021","Metropolitan","19 Years and Older","0% or more FPL","913,143","880,074","946,212","18.7","18.1","19.3"
"Black","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","25,678","19,220","32,136","2.2","1.7","2.8"
"Black","2021","Suburban","19 Years and Older","0% or more FPL","64,276","49,146","79,406","4.2","3.3","5.2"
"Hispanic","2021","Appalachian","19 Years and Older","0% or more FPL","27,203","19,408","34,999","2.0","1.4","2.6"
"Hispanic","2021","Metropolitan","19 Years and Older","0% or more FPL","189,109","171,690","206,527","3.9","3.5","4.2"
"Hispanic","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","34,996","28,297","41,695","3.0","2.4","3.6"
"Hispanic","2021","Suburban","19 Years and Older","0% or more FPL","34,607","27,680","41,534","2.3","1.8","2.7"
"Asian","2021","Appalachian","19 Years and Older","0% or more FPL","8,477","5,459","11,494","0.6","0.4","0.8"
"Asian","2021","Metropolitan","19 Years and Older","0% or more FPL","143,722","126,223","161,221","2.9","2.6","3.3"
"Asian","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","15,891","11,763","20,018","1.4","1.0","1.7"
"Asian","2021","Suburban","19 Years and Older","0% or more FPL","35,009","27,488","42,530","2.3","1.8","2.8"
