"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Working","2019","Suburban","19 Years and Older","0% or more FPL","920,699","884,739","956,659","61.1","59.6","62.7"
"Not Working","2019","Appalachian","19 Years and Older","0% or more FPL","659,047","632,223","685,872","48.0","46.2","49.9"
"Not Working","2019","Metropolitan","19 Years and Older","0% or more FPL","1,911,994","1,864,252","1,959,735","39.1","38.1","40.0"
"Not Working","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","467,978","445,181","490,774","40.1","38.1","42.1"
"Not Working","2019","Suburban","19 Years and Older","0% or more FPL","585,017","559,492","610,543","38.9","37.3","40.4"
"Working","2021","Appalachian","19 Years and Older","0% or more FPL","712,685","683,440","741,930","52.4","50.8","54.1"
"Working","2021","Metropolitan","19 Years and Older","0% or more FPL","2,893,202","2,833,585","2,952,820","59.3","58.4","60.1"
"Working","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","671,219","641,929","700,508","57.6","55.8","59.3"
"Working","2021","Suburban","19 Years and Older","0% or more FPL","892,735","860,922","924,548","58.9","57.1","60.6"
"Not Working","2021","Appalachian","19 Years and Older","0% or more FPL","646,108","622,639","669,577","47.6","45.9","49.2"
"Not Working","2021","Metropolitan","19 Years and Older","0% or more FPL","1,988,517","1,941,506","2,035,527","40.7","39.9","41.6"
"Not Working","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","494,410","473,150","515,671","42.4","40.7","44.2"
"Not Working","2021","Suburban","19 Years and Older","0% or more FPL","624,177","589,995","658,358","41.1","39.4","42.9"
